bkpage_2,Percent_Difference_4,Percent_Difference_5,Percent_Difference_6
65,0.736153071500504,0.794223826714801,0.985411764705882
127,0.32726022688209,0.152160681679854,0.530601092896175
183,0.0137142857142857,0.210719915922228,0.993118756936737
235,0.149274849663955,0.20535411724839,0.99645390070922
318,0.124880535202294,0.278519417475728,0.999044433827043
